Position,Track Name,Artist,Streams,URL,Date
40,223's (feat. 9lokknine),YNW Melly,496316,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,1/3/2020
41,Falling,Harry Styles,492174,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,1/3/2020
42,Señorita,Shawn Mendes,488227,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,1/3/2020
43,Say So,Doja Cat,485227,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,1/3/2020
44,Money In The Grave (Drake ft. Rick Ross),Drake,480133,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,1/3/2020
45,Goodbyes (Feat. Young Thug),Post Malone,479410,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,1/3/2020
46,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,471451,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,1/3/2020
47,Death,Trippie Redd,470934,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,1/3/2020
48,Had Enough (feat. Quavo & Offset),Don Toliver,466769,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,1/3/2020
49,Stuck In A Dream (feat. Gunna),Lil Mosey,465477,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,1/3/2020
50,No Guidance (feat. Drake),Chris Brown,464249,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,1/3/2020
1,The Box,Roddy Ricch,2401325,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,1/4/2020
2,Yummy,Justin Bieber,1458513,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,1/4/2020
3,ROXANNE,Arizona Zervas,1364293,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,1/4/2020
4,Circles,Post Malone,1147870,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1/4/2020
5,BOP,DaBaby,1112838,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,1/4/2020
6,Falling,Trevor Daniel,1035929,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,1/4/2020
7,Bandit (with YoungBoy Never Broke Again),Juice WRLD,982460,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,1/4/2020
8,Dance Monkey,Tones And I,976412,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1/4/2020
9,Futsal Shuffle 2020,Lil Uzi Vert,896692,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,1/4/2020
10,Ballin' (with Roddy Ricch),Mustard,843591,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,1/4/2020
11,Blinding Lights,The Weeknd,831244,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,1/4/2020
12,everything i wanted,Billie Eilish,823174,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,1/4/2020
13,My Oh My (feat. DaBaby),Camila Cabello,815402,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,1/4/2020
14,Adore You,Harry Styles,797284,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,1/4/2020
15,Suicidal,YNW Melly,761855,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,1/4/2020
16,Don't Start Now,Dua Lipa,718224,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,1/4/2020
17,hot girl bummer,blackbear,668967,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,1/4/2020
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,667105,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,1/4/2020
19,Heartless,The Weeknd,665259,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,1/4/2020
20,No Idea,Don Toliver,657163,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,1/4/2020
21,Watermelon Sugar,Harry Styles,652327,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,1/4/2020
22,OUT WEST (feat. Young Thug),JACKBOYS,649962,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,1/4/2020
23,VIBEZ,DaBaby,644344,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,1/4/2020
24,Memories,Maroon 5,629479,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,1/4/2020
25,HIGHEST IN THE ROOM,Travis Scott,628322,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,1/4/2020
26,Woah,Lil Baby,616993,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,1/4/2020
27,Someone You Loved,Lewis Capaldi,598495,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,1/4/2020
28,Lose You To Love Me,Selena Gomez,587826,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,1/4/2020
29,Lucid Dreams,Juice WRLD,584904,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/4/2020
30,Suge,DaBaby,573309,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,1/4/2020
31,bad guy,Billie Eilish,548518,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1/4/2020
32,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,539035,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,1/4/2020
33,Robbery,Juice WRLD,535038,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,1/4/2020
34,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,524063,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,1/4/2020
35,Ransom,Lil Tecca,521159,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1/4/2020
36,SUGAR,BROCKHAMPTON,519448,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,1/4/2020
37,Truth Hurts,Lizzo,500924,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,1/4/2020
38,Say So,Doja Cat,493807,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,1/4/2020
39,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,490859,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,1/4/2020
40,223's (feat. 9lokknine),YNW Melly,484617,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,1/4/2020
41,Money In The Grave (Drake ft. Rick Ross),Drake,466862,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,1/4/2020
42,Señorita,Shawn Mendes,458853,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,1/4/2020
43,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,453553,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,1/4/2020
44,Goodbyes (Feat. Young Thug),Post Malone,452726,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,1/4/2020
45,"10,000 Hours (with Justin Bieber)",Dan + Shay,452296,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,1/4/2020
46,No Guidance (feat. Drake),Chris Brown,450179,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,1/4/2020
47,Death,Trippie Redd,449453,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,1/4/2020
48,Falling,Harry Styles,444808,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,1/4/2020
49,Stuck In A Dream (feat. Gunna),Lil Mosey,439149,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,1/4/2020
50,Wow.,Post Malone,431325,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,1/4/2020
1,The Box,Roddy Ricch,2308546,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,1/5/2020
2,ROXANNE,Arizona Zervas,1248982,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,1/5/2020
3,Yummy,Justin Bieber,1131372,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,1/5/2020
4,Circles,Post Malone,1027428,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1/5/2020
5,BOP,DaBaby,993669,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,1/5/2020
6,Falling,Trevor Daniel,940546,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,1/5/2020
7,Bandit (with YoungBoy Never Broke Again),Juice WRLD,898184,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,1/5/2020
8,Dance Monkey,Tones And I,880425,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1/5/2020
9,Futsal Shuffle 2020,Lil Uzi Vert,819891,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,1/5/2020
10,Ballin' (with Roddy Ricch),Mustard,775040,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,1/5/2020
11,everything i wanted,Billie Eilish,756652,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,1/5/2020
12,Blinding Lights,The Weeknd,736859,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,1/5/2020
13,Adore You,Harry Styles,727773,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,1/5/2020
14,Suicidal,YNW Melly,717007,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,1/5/2020
15,My Oh My (feat. DaBaby),Camila Cabello,711433,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,1/5/2020
